iter	Passed	Remaining
653	938	496
654	940	495
655	941	493
656	942	492
657	945	491
658	947	490
659	949	489
660	951	487
661	952	486
662	954	485
663	955	483
664	957	482
665	958	480
666	960	479
667	962	478
668	963	476
669	965	475
670	969	475
671	972	474
672	974	473
673	976	472
674	979	471
675	982	470
676	984	469
677	986	468
678	988	467
679	990	465
680	991	464
681	994	463
682	996	462
683	998	461
684	1005	462
685	1009	462
686	1013	461
687	1016	460
688	1020	460
689	1022	459
690	1024	458
691	1028	457
692	1030	456
693	1033	455
694	1034	454
695	1047	457
696	1049	456
697	1052	455
698	1054	454
699	1061	454
700	1063	453
701	1065	452
702	1067	451
703	1069	449
704	1070	448
705	1073	446
706	1075	445
707	1076	443
708	1077	442
709	1078	440
710	1080	439
711	1082	437
712	1083	436
713	1084	434
714	1087	433
715	1089	431
716	1091	430
717	1092	429
718	1094	427
719	1095	426
720	1096	424
721	1097	422
722	1099	421
723	1100	419
724	1102	418
725	1103	416
726	1105	414
727	1106	413
728	1108	411
729	1109	410
730	1111	408
731	1112	407
732	1113	405
733	1115	404
734	1117	402
735	1118	401
736	1119	399
737	1121	398
738	1122	396
739	1123	394
740	1125	393
741	1126	391
742	1128	390
743	1129	388
744	1131	387
745	1132	385
746	1133	384
747	1135	382
748	1136	380
749	1137	379
750	1139	377
751	1140	376
752	1141	374
753	1142	372
754	1144	371
755	1146	369
756	1147	368
757	1148	366
758	1150	365
759	1151	363
760	1152	362
761	1154	360
762	1155	358
763	1156	357
764	1157	355
765	1159	354
766	1160	352
767	1162	351
768	1163	349
769	1164	347
770	1165	346
771	1167	344
772	1168	343
773	1169	341
774	1171	340
775	1172	338
776	1174	337
777	1175	335
778	1177	333
779	1178	332
780	1179	330
781	1180	329
782	1182	327
783	1183	326
784	1184	324
785	1185	322
786	1187	321
787	1189	319
788	1191	318
789	1192	316
790	1193	315
791	1195	313
792	1196	312
793	1197	310
794	1199	309
795	1200	307
796	1202	306
797	1203	304
798	1204	303
799	1205	301
800	1207	300
801	1209	298
802	1211	297
803	1212	295
804	1213	294
805	1215	292
806	1217	291
807	1218	289
808	1220	288
809	1221	286
810	1223	285
811	1224	283
812	1225	281
813	1227	280
814	1228	278
815	1230	277
816	1232	275
817	1233	274
818	1235	272
819	1236	271
820	1237	269
821	1239	268
822	1240	266
823	1241	265
824	1242	263
825	1243	262
826	1245	260
827	1247	259
828	1249	257
829	1250	256
830	1252	254
831	1253	253
832	1254	251
833	1255	249
834	1257	248
835	1259	247
836	1261	245
837	1262	244
838	1263	242
839	1265	240
840	1266	239
841	1267	237
842	1269	236
843	1270	234
844	1271	233
845	1272	231
846	1274	230
847	1276	228
848	1278	227
849	1279	225
850	1280	224
851	1281	222
852	1283	221
853	1284	219
854	1285	218
855	1287	216
856	1289	215
857	1290	213
858	1291	212
859	1292	210
860	1293	208
861	1295	207
862	1296	205
863	1297	204
864	1299	202
865	1300	201
866	1301	199
867	1303	198
868	1304	196
869	1306	195
870	1307	193
871	1308	192
872	1309	190
873	1311	189
874	1312	187
875	1313	185
876	1315	184
877	1316	182
878	1318	181
879	1319	179
880	1320	178
881	1322	176
882	1323	175
883	1324	173
884	1326	172
885	1327	170
886	1329	169
887	1330	167
888	1332	166
889	1333	164
890	1335	163
891	1336	161
892	1337	160
893	1339	158
894	1340	157
895	1341	155
896	1343	154
897	1344	152
898	1346	151
899	1348	149
900	1350	148
901	1351	146
902	1352	145
903	1353	143
904	1355	142
905	1356	140
906	1357	139
907	1359	137
908	1361	136
909	1366	135
910	1367	133
911	1369	132
912	1370	130
913	1372	129
914	1373	127
915	1375	126
916	1377	124
917	1379	123
918	1380	121
919	1382	120
920	1383	118
921	1385	117
922	1386	115
923	1387	114
924	1389	112
925	1391	111
926	1393	109
927	1395	108
928	1396	106
929	1398	105
930	1399	103
931	1401	102
932	1403	100
933	1407	99
934	1409	97
935	1411	96
936	1412	94
937	1413	93
938	1415	91
939	1417	90
940	1418	88
941	1420	87
942	1422	85
943	1423	84
944	1425	82
945	1426	81
946	1427	79
947	1429	78
948	1430	76
949	1431	75
950	1433	73
951	1435	72
952	1437	70
953	1438	69
954	1439	67
955	1441	66
956	1442	64
957	1443	63
958	1445	61
959	1446	60
960	1449	58
961	1451	57
962	1452	55
963	1454	54
964	1455	52
965	1456	51
966	1458	49
967	1459	48
968	1460	46
969	1462	45
970	1465	43
971	1466	42
972	1467	40
973	1469	39
974	1470	37
975	1471	36
976	1472	34
977	1473	33
978	1475	31
979	1476	30
980	1478	28
981	1479	27
982	1481	25
983	1482	24
984	1483	22
985	1484	21
986	1486	19
987	1487	18
988	1488	16
989	1489	15
990	1492	13
991	1493	12
992	1494	10
993	1496	9
994	1497	7
995	1498	6
996	1500	4
997	1501	3
998	1503	1
999	1504	0
